id_ni;kurz_ni;id_bdat;kurz;lang;short;long;scientific;gruppe
511;Fi;1;Fi;Fichte;NS;Norway spruce;Picea abies;FI
512;SFi;2;SF;Sitka-Fichte;SS;Sitka spruce;Picea sitchensis;FI
520;Ta;3;Ta;Tanne;ESF;European silver fir;Abies alba;SNB
521;WTa;3;Ta;Tanne;ESF;European silver fir;Abies alba;SNB
523;KTa;4;KT;Kuestentanne;GF;Grand fir;Abies grandis;SNB
711;Ki;5;Kie;Kiefer;SP;Scotch pine;Pinus sylvestris;KI
712;SKi;6;SK;Schwarzkiefer;AUP;Austrian pine;Pinus nigra;KI
731;Stro;7;WK;Weymouthskiefer;WEP;Weymouth pine;Pinus strobus;KI
611;Dgl;8;DG;Douglasie;DF;Douglas fir;Pseudotsuga menziesii;DGL
810;Lä;9;La;Laerche;XLA;larch;Larix spp.;LAE
813;SuLä;9;La;Laerche;XLA;larch;Larix spp.;LAE
814;HyLä;9;La;Laerche;XLA;larch;Larix spp.;LAE
811;ELä;10;EL;Europ. Laerche;ELA;European larch;Larix decidua;LAE
812;JLä;11;JL;Jap. Laerche;JLA;Japanese larch;Larix kaempferi;LAE
542;Th;12;Th;Thuja;RC;Western red cedar;Thuja plicata;SNB
541;Ts;13;Ts;Tsuga;WH;Western hemlock;Tsuga heterophylla;SNB
513;OFi;14;SN;sNB;XC;other conifers;Coniferales trees;SNB
514;SteFi;14;SN;sNB;XC;other conifers;Coniferales trees;SNB
522;NTa;14;SN;sNB;XC;other conifers;Coniferales trees;SNB
524;KolTa;14;SN;sNB;XC;other conifers;Coniferales trees;SNB
525;ETa;14;SN;sNB;XC;other conifers;Coniferales trees;SNB
526;JTa;14;SN;sNB;XC;other conifers;Coniferales trees;SNB
527;LTa;14;SN;sNB;XC;other conifers;Coniferales trees;SNB
528;VeiTa;14;SN;sNB;XC;other conifers;Coniferales trees;SNB
529;PurTa;14;SN;sNB;XC;other conifers;Coniferales trees;SNB
531;SiTa;14;SN;sNB;XC;other conifers;Coniferales trees;SNB
532;RZyp;14;SN;sNB;XC;other conifers;Coniferales trees;SNB
543;Ch;14;SN;sNB;XC;other conifers;Coniferales trees;SNB
551;Seqg;14;SN;sNB;XC;other conifers;Coniferales trees;SNB
552;Metg;14;SN;sNB;XC;other conifers;Coniferales trees;SNB
561;Eibe;14;SN;sNB;XC;other conifers;Coniferales trees;SNB
713;BKi;14;SN;sNB;XC;other conifers;Coniferales trees;SNB
714;BaKi;14;SN;sNB;XC;other conifers;Coniferales trees;SNB
715;PKi;14;SN;sNB;XC;other conifers;Coniferales trees;SNB
716;Pcont;14;SN;sNB;XC;other conifers;Coniferales trees;SNB
211;Bu;15;Bu;Buche;BE;beech;Fagus sylvatica;BU
221;HBu;16;HB;Hainbuche;HBM;hornbeam;Carpinus betulus;SLB
110;Ei;17;Ei;Eiche;OK;oak (robur/petraea);Quercus spp.;EI
111;SEi;17;Ei;Eiche;OK;oak (robur/petraea);Quercus spp.;EI
112;TEi;17;Ei;Eiche;OK;oak (robur/petraea);Quercus spp.;EI
113;REi;18;RE;Roteiche;ROK;Red oak;Quercus rubra;EI
430;Pa;19;Pa;Pappel;XPO;poplar;Populus spp.;SLB
431;As;19;Pa;Pappel;XPO;poplar;Populus spp.;SLB
