"","Tnr","Enr","Ba_Gr","BaGr","Bl","GK3_Rechts","GK3_Hoch","ba_anteil"
"1",18883,2,1,"BU",3,3552200,5686350,0.96875
"2",18947,3,1,"BU",3,3544350,5690350,0.862068951129913
"3",18948,1,5,"FI",3,3548200,5690200,0.777777791023254
"4",18948,2,2,"EI",3,3548200,5690350,0.772727251052856
"5",19011,3,2,"EI",3,3540350,5694350,0.818181812763214
"6",19012,1,1,"BU",3,3544200,5694200,1
"7",19012,2,1,"BU",3,3544200,5694350,0.965517222881317
"8",19012,4,1,"BU",3,3544350,5694200,0.966666638851166
"9",19013,1,7,"DGL",3,3548200,5694200,0.9375
"10",19013,2,7,"DGL",3,3548200,5694350,1
"11",19013,3,7,"DGL",3,3548350,5694350,1
"12",19013,4,7,"DGL",3,3548350,5694200,0.964285731315613
"13",19079,1,1,"BU",3,3552200,5698200,1
"14",19079,2,1,"BU",3,3552200,5698350,0.952380955219269
"15",19079,3,1,"BU",3,3552350,5698350,0.9375
"16",19079,4,1,"BU",3,3552350,5698200,1
"17",19083,1,1,"BU",3,3568200,5698200,0.928571403026581
"18",19083,2,1,"BU",3,3568200,5698350,0.969696998596191
"19",19146,1,1,"BU",3,3556200,5702200,0.769230782985687
"20",19146,3,1,"BU",3,3556350,5702350,0.839999973773956
"21",19149,4,1,"BU",3,3568350,5702200,0.764705896377563
"22",19151,1,1,"BU",3,3576200,5702200,0.903225779533386
"23",19212,2,5,"FI",3,3544200,5706350,0.823529422283173
"24",19220,1,5,"FI",3,3576200,5706200,1
"25",19221,2,1,"BU",3,3580200,5706350,0.928571403026581
"26",19221,3,1,"BU",3,3580350,5706350,0.972222208976746
"27",19282,2,1,"BU",3,3544200,5710350,0.827586233615875
"28",19282,3,1,"BU",3,3544350,5710350,0.785714268684387
"29",19283,3,5,"FI",3,3548350,5710350,0.921052634716034
"30",19283,4,5,"FI",3,3548350,5710200,1
"31",19285,1,1,"BU",3,3556200,5710200,0.823529422283173
"32",19285,3,1,"BU",3,3556350,5710350,0.793103456497192
"33",19285,4,1,"BU",3,3556350,5710200,0.794117629528046
"34",19288,3,1,"BU",3,3568350,5710350,0.833333313465118
"35",19289,3,1,"BU",3,3572350,5710350,0.904761910438538
"36",19294,2,5,"FI",3,3592200,5710350,1
"37",19356,1,1,"BU",3,3548200,5714200,1
"38",19356,2,5,"FI",3,3548200,5714350,1
"39",19356,4,1,"BU",3,3548350,5714200,1
"40",19357,3,1,"BU",3,3552350,5714350,1
"41",19362,1,1,"BU",3,3572200,5714200,0.97560977935791
"42",19366,2,1,"BU",3,3588200,5714350,0.800000011920929
"43",19366,3,1,"BU",3,3588350,5714350,1
"44",19431,3,5,"FI",3,3552350,5718350,0.947368443012238
"45",19431,4,5,"FI",3,3552350,5718200,1
"46",19435,1,1,"BU",3,3568200,5718200,0.947368443012238
"47",19435,2,1,"BU",3,3568200,5718350,0.833333313465118
"48",19435,3,1,"BU",3,3568350,5718350,0.759999990463257
"49",19441,1,1,"BU",3,3592200,5718200,0.756097555160522
"50",19441,2,1,"BU",3,3592200,5718350,0.911764681339264
"51",19441,3,1,"BU",3,3592350,5718350,0.783783793449402
"52",19441,4,1,"BU",3,3592350,5718200,0.964285731315613
"53",19508,1,5,"FI",3,3544200,5722200,1
"54",19508,3,1,"BU",3,3544350,5722350,1
"55",19508,4,7,"DGL",3,3544350,5722200,0.9375
"56",19510,2,5,"FI",3,3552200,5722350,1
"57",19514,1,1,"BU",3,3568200,5722200,0.839999973773956
"58",19514,2,1,"BU",3,3568200,5722350,1
"59",19514,3,1,"BU",3,3568350,5722350,0.777777791023254
"60",19514,4,5,"FI",3,3568350,5722200,0.809523820877075
"61",19515,1,5,"FI",3,3572200,5722200,1
"62",19515,2,5,"FI",3,3572200,5722350,1
"63",19515,4,5,"FI",3,3572350,5722200,0.923076927661896
"64",19518,1,8,"KI",3,3584200,5722200,0.928571403026581
"65",19518,4,5,"FI",3,3584350,5722200,0.885714292526245
"66",19520,4,5,"FI",3,3592350,5722200,1
"67",19523,2,1,"BU",3,3604009.872,5722356.362,0.951219499111176
"68",19523,3,5,"FI",3,3604159.745,5722362.518,1
"69",19524,4,5,"FI",3,3608062.66,5722372.706,1
"70",19525,1,1,"BU",3,3611909.537,5722530.721,0.871794879436493
"71",19525,2,1,"BU",3,3611903.38,5722680.601,0.975000023841858
"72",19585,1,5,"FI",3,3532200,5726200,0.809523820877075
"73",19585,4,5,"FI",3,3532350,5726200,0.945945918560028
"74",19586,2,1,"BU",3,3536200,5726350,0.923076927661896
"75",19586,4,1,"BU",3,3536350,5726200,0.821428596973419
"76",19590,2,5,"FI",3,3552200,5726350,0.972972989082336
"77",19590,3,1,"BU",3,3552350,5726350,0.935483872890472
"78",19591,1,1,"BU",3,3556200,5726200,0.962962985038757
"79",19591,3,1,"BU",3,3556350,5726350,0.896551728248596
"80",19593,3,1,"BU",3,3564350,5726350,1
"81",19595,1,1,"BU",3,3572200,5726200,0.903225779533386
"82",19601,1,1,"BU",3,3596200,5726200,1
"83",19601,2,1,"BU",3,3596200,5726350,1
"84",19601,3,1,"BU",3,3596350,5726350,1
"85",19601,4,1,"BU",3,3596350,5726200,1
"86",19602,1,1,"BU",3,3600200,5726200,1
"87",19602,3,5,"FI",3,3600350,5726350,0.842105269432068
"88",19602,4,1,"BU",3,3600350,5726200,1
"89",19603,1,1,"BU",3,3603951.739,5726207.224,0.899999976158142
"90",19603,2,1,"BU",3,3603945.58,5726357.098,1
"91",19604,1,5,"FI",3,3607748.574,5726363.26,0.800000011920929
"92",19604,2,5,"FI",3,3607742.415,5726513.136,1
"93",19604,3,5,"FI",3,3607892.291,5726519.296,1
"94",19604,4,5,"FI",3,3607898.451,5726369.419,1
"95",19605,1,5,"FI",3,3611745.322,5726527.513,1
"96",19665,1,1,"BU",3,3528200,5730200,0.916666686534882
"97",19665,2,1,"BU",3,3528200,5730350,0.857142865657806
"98",19665,3,1,"BU",3,3528350,5730350,0.869565188884735
"99",19667,1,5,"FI",3,3536200,5730200,0.857142865657806
"100",19667,2,5,"FI",3,3536200,5730350,0.866666674613953
"101",19667,3,1,"BU",3,3536350,5730350,0.935483872890472
"102",19667,4,5,"FI",3,3536350,5730200,1
"103",19668,1,1,"BU",3,3540200,5730200,0.759999990463257
"104",19668,2,1,"BU",3,3540200,5730350,1
"105",19668,3,1,"BU",3,3540350,5730350,1
"106",19669,1,1,"BU",3,3544200,5730200,1
"107",19669,2,1,"BU",3,3544200,5730350,0.923076927661896
"108",19669,4,1,"BU",3,3544350,5730200,1
"109",19670,1,5,"FI",3,3548200,5730200,1
"110",19670,2,5,"FI",3,3548200,5730350,1
"111",19670,3,5,"FI",3,3548350,5730350,1
"112",19670,4,5,"FI",3,3548350,5730200,1
"113",19671,1,5,"FI",3,3552200,5730200,1
"114",19671,2,5,"FI",3,3552200,5730350,1
"115",19671,3,5,"FI",3,3552350,5730350,0.761904776096344
"116",19671,4,5,"FI",3,3552350,5730200,0.972972989082336
"117",19679,3,5,"FI",3,3584350,5730350,0.777777791023254
"118",19681,1,1,"BU",3,3592200,5730200,0.9375
"119",19681,3,1,"BU",3,3592350,5730350,1
"120",19681,4,1,"BU",3,3592350,5730200,0.916666686534882
"121",19682,1,5,"FI",3,3596200,5730200,0.863636374473572
"122",19682,3,5,"FI",3,3596350,5730350,1
"123",19683,1,5,"FI",3,3600200,5730200,1
"124",19683,2,5,"FI",3,3600200,5730350,0.969696998596191
"125",19683,3,5,"FI",3,3600350,5730350,0.974358975887299
"126",19683,4,5,"FI",3,3600350,5730200,1
"127",19684,1,5,"FI",3,3603887.369,5730207.96,1
"128",19684,2,5,"FI",3,3603881.206,5730357.834,1
"129",19684,3,5,"FI",3,3604031.08,5730363.996,0.966666638851166
"130",19685,1,5,"FI",3,3607584.283,5730359.965,0.868421077728271
"131",19685,2,1,"BU",3,3607578.121,5730509.841,0.800000011920929
"132",19685,4,1,"BU",3,3607734.16,5730366.127,1
"133",19686,1,5,"FI",3,3611581.026,5730524.299,1
"134",19686,2,5,"FI",3,3611574.864,5730674.178,1
"135",19686,3,5,"FI",3,3611724.743,5730680.341,1
"136",19686,4,5,"FI",3,3611730.906,5730530.461,1
"137",19748,3,5,"FI",3,3532350,5734350,0.95652174949646
"138",19751,1,1,"BU",3,3544200,5734200,1
"139",19751,2,5,"FI",3,3544200,5734350,1
"140",19751,3,1,"BU",3,3544350,5734350,0.875
"141",19752,3,1,"BU",3,3548350,5734350,0.967741906642914
"142",19752,4,1,"BU",3,3548350,5734200,1
