"BA","sol","har","hei"
110,68.1,32.5,0.5
111,1406.1,416.7,2.6
112,3877.7,1018.2,876.9
113,148.5,84.1,11.2
114,1.4,NA,NA
115,0.2,NA,NA
211,31733.1,23217.3,466.4
221,125.7,135.8,2
311,672.7,941.6,NA
320,1.3,2.2,NA
321,508.7,2071.9,0.4
322,4.7,35.9,0.4
323,6.4,4.2,0.6
330,0.9,0.3,NA
331,7.1,15.3,NA
332,4.3,4.6,NA
333,0.8,1.2,NA
340,0.9,3.3,0.2
341,8.1,0.9,NA
342,19.6,51.4,0.4
351,4,8.7,0.3
352,4.9,1.3,NA
353,4.9,0.7,NA
354,84.8,101.8,0.2
355,10.6,3.4,NA
356,1.9,1.7,NA
357,7.7,9.4,NA
358,0.2,0,NA
359,0,0.3,NA
361,0,NA,NA
362,2.4,NA,NA
365,0.4,0.1,NA
410,367,299.6,258.5
411,325.4,741.1,2.3
412,349.1,17.4,NA
414,0.8,0.3,NA
420,1.9,11.2,NA
421,256.1,865.9,43.9
422,70.2,47,2.8
423,0,1.4,NA
430,9.3,1.5,0.1
431,20.8,32.8,4.2
432,7.3,11.3,NA
433,1.1,NA,NA
434,0.6,0.9,NA
441,31.1,116,1.5
442,5.3,6.4,NA
451,216.6,464,2.5
452,0.4,0.6,0.4
453,0.4,NA,NA
454,14.3,3.3,NA
511,24223.2,44552.4,981.4
512,36.7,13.1,0
513,48.4,19.2,NA
514,2.6,0.9,0.9
520,1.4,32.3,NA
521,19.9,9.5,0
522,3.4,3.3,NA
523,16,13.4,0.3
524,0,0.5,0.4
525,1.4,15,NA
526,0.4,1,NA
528,0.2,2,NA
541,2,2.6,NA
542,3.5,4.8,NA
543,1.1,NA,0
551,6.6,0.6,NA
552,0.4,NA,NA
561,0.7,0.5,NA
611,1050.5,1292,1061.7
711,363.1,218.5,4455.4
712,45.8,6.1,3.7
713,0,0.1,NA
731,7.9,31.1,2.3
810,23.7,5.5,0.3
811,2993.5,2051.6,278.3
812,592.6,378.2,0.3
916,0.3,NA,NA
933,0,0.3,NA
935,1.3,1.4,NA
940,0.3,NA,NA
941,0.9,NA,NA
942,2.7,NA,NA
943,0,0,NA
948,0,0,NA
956,0.3,NA,NA
960,1.1,0,NA
961,1,1.6,NA
980,0,0.1,NA
981,0,NA,NA
982,0.8,0,NA
984,0,NA,NA
529,NA,1.3,NA
919,NA,0,NA
921,NA,0,NA
949,NA,0.2,NA
962,NA,0.2,NA
715,NA,NA,1.2
